#Frequency (Hz), B_1re (), B_1im (), B_1dB (dB), B_1Ph (rad), Power (dBm)
8.4400000000e+09, 2.4603180000e-05, -1.1159630000e-04, -7.8840883940e+01, -1.3538016629e+00, -2.0000000000e+01
8.4401000000e+09, 4.2083180000e-05, 4.5544140000e-05, -8.4150739817e+01, 8.2487400297e-01, -2.0000000000e+01
8.4402000000e+09, -2.3034090000e-05, -9.0207420000e-05, -8.0620837065e+01, -1.8208000116e+00, -2.0000000000e+01
8.4403000000e+09, -1.5317590000e-05, -1.0977370000e-04, -7.9106285944e+01, -1.7094390085e+00, -2.0000000000e+01
8.4404000000e+09, -3.6127680000e-05, -3.3783850000e-05, -8.6114445226e+01, -2.3897075954e+00, -2.0000000000e+01
8.4405000000e+09, -9.0398270000e-05, 4.0388470000e-05, -8.0086376425e+01, -3.5617686526e+00, -2.0000000000e+01
8.4406000000e+09, -6.3272320000e-05, -1.9191690000e-05, -8.3593489089e+01, -2.8470937922e+00, -2.0000000000e+01
8.4407000000e+09, -2.3911270000e-05, 8.2550670000e-05, -8.1315694146e+01, -4.4304492018e+00, -2.0000000000e+01
8.4408000000e+09, 4.9914150000e-05, -7.3857480000e-05, -8.0998323254e+01, -7.2596708212e+00, -2.0000000000e+01
8.4409000000e+09, -6.8708310000e-05, 2.6056150000e-05, -8.2676259595e+01, -9.7872506541e+00, -2.0000000000e+01
8.4410000000e+09, -1.5734460000e-04, -2.0739460000e-05, -7.5988158271e+01, -9.2937242739e+00, -2.0000000000e+01
8.4411000000e+09, -4.9349320000e-05, -2.8487380000e-05, -8.4885329322e+01, -8.9012470183e+00, -2.0000000000e+01
8.4412000000e+09, 2.5724700000e-05, 4.1264360000e-05, -8.6262592864e+01, -1.1553030904e+01, -2.0000000000e+01
8.4413000000e+09, -4.6032250000e-05, -1.2898000000e-04, -7.7268873673e+01, -1.4479970584e+01, -2.0000000000e+01
8.4414000000e+09, -1.3003700000e-04, -4.6889370000e-05, -7.7187794402e+01, -1.5361890049e+01, -2.0000000000e+01
8.4415000000e+09, 4.2207310000e-05, 1.2229090000e-05, -8.7142160035e+01, -1.2284354263e+01, -2.0000000000e+01
8.4416000000e+09, -2.8133660000e-05, 4.5622980000e-05, -8.5416705523e+01, -1.0442998052e+01, -2.0000000000e+01
8.4417000000e+09, -1.0963380000e-04, 9.7493780000e-06, -7.9166901869e+01, -9.5134714111e+00, -2.0000000000e+01
8.4418000000e+09, -8.2294510000e-05, 1.0363760000e-04, -7.7566360175e+01, -1.0324465585e+01, -2.0000000000e+01
8.4419000000e+09, -5.4522580000e-05, -2.7032550000e-05, -8.4313911116e+01, -8.9644922417e+00, -2.0000000000e+01
8.4420000000e+09, 5.1372800000e-05, 1.4851360000e-06, -8.5781707247e+01, -6.2542843619e+00, -2.0000000000e+01
8.4421000000e+09, 1.6698410000e-05, 1.6402600000e-05, -9.2613128223e+01, -5.5067234912e+00, -2.0000000000e+01
8.4422000000e+09, -7.0560390000e-05, -4.9608580000e-05, -8.1284399156e+01, -2.5288122291e+00, -2.0000000000e+01
8.4423000000e+09, -4.5358140000e-05, 2.7419020000e-05, -8.5514229797e+01, -3.6853148029e+00, -2.0000000000e+01
8.4424000000e+09, -1.6015030000e-04, -3.1220000000e-05, -7.5747461564e+01, -2.9490653711e+00, -2.0000000000e+01
8.4425000000e+09, -4.4761200000e-05, 8.5947710000e-05, -8.0273078662e+01, -4.2322435340e+00, -2.0000000000e+01
8.4426000000e+09, 9.8927640000e-08, 3.4814160000e-05, -8.9164846514e+01, -4.7152305648e+00, -2.0000000000e+01
8.4427000000e+09, -1.2973650000e-04, 1.5287910000e-05, -7.7678865912e+01, -3.2588898829e+00, -2.0000000000e+01
8.4428000000e+09, -8.4201570000e-05, 6.7898920000e-05, -7.9318079124e+01, -3.8202150466e+00, -2.0000000000e+01
8.4429000000e+09, -1.1572790000e-04, 2.5607460000e-05, -7.8523642063e+01, -3.3593568681e+00, -2.0000000000e+01
8.4430000000e+09, -8.1324700000e-05, 5.1730840000e-05, -8.0319942605e+01, -3.7081359379e+00, -2.0000000000e+01
8.4431000000e+09, -7.6363660000e-05, 9.7740840000e-06, -8.2271693749e+01, -3.2688944110e+00, -2.0000000000e+01
8.4432000000e+09, -8.4565270000e-05, 1.6488570000e-04, -7.4642176814e+01, -4.2384968244e+00, -2.0000000000e+01
8.4433000000e+09, -1.4657830000e-04, -1.6518460000e-05, -7.6623798788e+01, -3.0293723553e+00, -2.0000000000e+01
8.4434000000e+09, -1.2708250000e-04, -2.6071160000e-05, -7.7739244722e+01, -2.9392487126e+00, -2.0000000000e+01
8.4435000000e+09, -7.5382330000e-05, 8.3973410000e-05, -7.8950341564e+01, -3.9808500087e+00, -2.0000000000e+01
8.4436000000e+09, -1.8334470000e-05, 5.7734970000e-05, -8.4353955282e+01, -4.4048985475e+00, -2.0000000000e+01
8.4437000000e+09, -9.1667620000e-05, 1.1358440000e-05, -8.0689508475e+01, -3.2648732553e+00, -2.0000000000e+01
8.4438000000e+09, -5.6407920000e-05, -3.9166770000e-05, -8.3264363970e+01, -2.5346695375e+00, -2.0000000000e+01
8.4439000000e+09, -5.2799380000e-05, -1.6069890000e-04, -7.5434531347e+01, -1.8882455862e+00, -2.0000000000e+01
8.4440000000e+09, -7.2188120000e-05, 1.2340060000e-04, -7.6895439101e+01, -4.1830793429e+00, -2.0000000000e+01
8.4441000000e+09, 4.4958550000e-05, 1.2044880000e-04, -7.7817485690e+01, -5.0696320671e+00, -2.0000000000e+01
8.4442000000e+09, -5.8525420000e-05, -2.2147640000e-05, -8.4071858482e+01, -2.7798202694e+00, -2.0000000000e+01
8.4443000000e+09, 1.7237510000e-04, 6.4189330000e-05, -7.4706537767e+01, 3.5647318659e-01, -2.0000000000e+01
8.4444000000e+09, 9.3771040000e-05, 1.2797790000e-04, -7.5990934772e+01, 9.3845116492e-01, -2.0000000000e+01
8.4445000000e+09, -7.6153030000e-05, 6.9011220000e-05, -7.9762607257e+01, 2.4053529862e+00, -2.0000000000e+01
8.4446000000e+09, -8.4192680000e-05, 2.0079550000e-04, -7.3241553264e+01, 1.9678254357e+00, -2.0000000000e+01
8.4447000000e+09, 1.5327080000e-05, 7.5893620000e-05, -8.2222281312e+01, 1.3715218708e+00, -2.0000000000e+01
8.4448000000e+09, -1.8325370000e-04, 1.2960480000e-04, -7.2977476751e+01, 2.5260224894e+00, -2.0000000000e+01
8.4449000000e+09, -3.4153200000e-05, 1.6973470000e-04, -7.5232218365e+01, 1.7693600656e+00, -2.0000000000e+01
8.4450000000e+09, -7.7845380000e-05, 1.9635150000e-04, -7.3505306405e+01, 1.9482466623e+00, -2.0000000000e+01
8.4451000000e+09, 2.4456910000e-04, 4.0917990000e-05, -7.2112073262e+01, 1.6577111300e-01, -2.0000000000e+01
8.4452000000e+09, -5.4659070000e-05, 2.2525680000e-04, -7.2697973866e+01, 1.8088475972e+00, -2.0000000000e+01
8.4453000000e+09, 4.0751490000e-06, 2.7798970000e-05, -9.1027086148e+01, 1.4252395485e+00, -2.0000000000e+01
8.4454000000e+09, 5.2513680000e-05, 1.3304390000e-04, -7.6891290580e+01, 1.1948591024e+00, -2.0000000000e+01
8.4455000000e+09, -4.9809240000e-05, -1.2473260000e-06, -8.6051079068e+01, 3.1666294814e+00, -2.0000000000e+01
8.4456000000e+09, 4.0318010000e-05, -4.6863650000e-05, -8.4177384506e+01, 5.4228472768e+00, -2.0000000000e+01
8.4457000000e+09, -7.0982580000e-05, 4.8532880000e-05, -8.1311224859e+01, 2.5418701938e+00, -2.0000000000e+01
8.4458000000e+09, 9.5372070000e-05, 5.4673440000e-05, -7.9177527423e+01, 5.2052916924e-01, -2.0000000000e+01
8.4459000000e+09, -3.8740310000e-06, -8.0570820000e-06, -1.0097319058e+02, -2.0189850420e+00, -2.0000000000e+01
8.4460000000e+09, 4.7855290000e-05, 1.0853470000e-04, -7.8517086841e+01, -5.1276676829e+00, -2.0000000000e+01
8.4461000000e+09, 2.8270050000e-06, -4.6640560000e-05, -8.6608798630e+01, -7.7934431117e+00, -2.0000000000e+01
8.4462000000e+09, 2.9740490000e-05, 1.3088770000e-04, -7.7443395355e+01, -4.9358168006e+00, -2.0000000000e+01
8.4463000000e+09, 2.9378410000e-06, 6.7412150000e-05, -8.3416995952e+01, -4.7559417113e+00, -2.0000000000e+01
8.4464000000e+09, 8.6046480000e-05, 6.5753900000e-05, -7.9307918889e+01, -5.6306786584e+00, -2.0000000000e+01
8.4465000000e+09, 7.2004990000e-05, 1.0300880000e-04, -7.8014657571e+01, -5.3224554801e+00, -2.0000000000e+01
8.4466000000e+09, 1.8451260000e-04, 6.7557880000e-05, -7.4133118212e+01, -5.9322027562e+00, -2.0000000000e+01
8.4467000000e+09, 7.3453100000e-05, 4.2749100000e-05, -8.1412917980e+01, -5.7561123991e+00, -2.0000000000e+01
8.4468000000e+09, 2.1006120000e-04, 1.9022050000e-05, -7.3517615486e+01, -6.1928768179e+00, -2.0000000000e+01
8.4469000000e+09, 7.9000610000e-05, 6.2330340000e-05, -7.9945548860e+01, -5.6151966683e+00, -2.0000000000e+01
8.4470000000e+09, 1.1485760000e-04, 3.6340530000e-05, -7.8382457254e+01, -5.9767546509e+00, -2.0000000000e+01
8.4471000000e+09, 2.2240090000e-04, -1.8679940000e-04, -7.0738831149e+01, -6.9817993754e+00, -2.0000000000e+01
8.4472000000e+09, 2.1351630000e-04, -5.5651090000e-05, -7.3125936379e+01, -6.5381536317e+00, -2.0000000000e+01
8.4473000000e+09, 1.7014120000e-04, -3.8853290000e-05, -7.5163042345e+01, -6.5076946727e+00, -2.0000000000e+01
8.4474000000e+09, 1.4910800000e-04, 8.6741550000e-06, -7.6515308639e+01, -6.2250771582e+00, -2.0000000000e+01
8.4475000000e+09, 2.2479500000e-04, 3.2509380000e-05, -7.2874374032e+01, -6.1395631412e+00, -2.0000000000e+01
8.4476000000e+09, 2.3331930000e-04, 1.1889630000e-04, -7.1638390862e+01, -5.8118981655e+00, -2.0000000000e+01
8.4477000000e+09, 1.8525650000e-04, -5.4746400000e-05, -7.4280916586e+01, -6.5705239760e+00, -2.0000000000e+01
8.4478000000e+09, 1.7465630000e-04, -7.9740430000e-05, -7.4334050907e+01, -6.7114780405e+00, -2.0000000000e+01
8.4479000000e+09, 8.3748360000e-05, 1.3933800000e-04, -7.5779214702e+01, -5.2535762546e+00, -2.0000000000e+01
8.4480000000e+09, 2.4155780000e-04, 9.5566620000e-05, -7.1708046561e+01, -5.9064550334e+00, -2.0000000000e+01
8.4481000000e+09, 1.7520630000e-04, 6.0885310000e-05, -7.4633876712e+01, -5.9487336855e+00, -2.0000000000e+01
8.4482000000e+09, 1.3004350000e-04, -6.1635920000e-05, -7.6838136410e+01, -6.7257879118e+00, -2.0000000000e+01
8.4483000000e+09, 1.3436970000e-04, -2.3119710000e-05, -7.7307267481e+01, -6.4535773481e+00, -2.0000000000e+01
8.4484000000e+09, 1.1792070000e-04, -1.1105630000e-04, -7.5810561424e+01, -7.0386138897e+00, -2.0000000000e+01
8.4485000000e+09, 9.8026890000e-05, -1.0472900000e-04, -7.6866087698e+01, -7.1016265087e+00, -2.0000000000e+01
8.4486000000e+09, 5.1745160000e-05, -1.0279440000e-04, -7.8779726217e+01, -7.3876296858e+00, -2.0000000000e+01
8.4487000000e+09, 1.8106080000e-04, 1.8398400000e-05, -7.4798898141e+01, -6.1819184112e+00, -2.0000000000e+01
8.4488000000e+09, 1.8344630000e-04, -1.0265670000e-04, -7.3546667305e+01, -6.7933696953e+00, -2.0000000000e+01
8.4489000000e+09, 1.7097910000e-04, -6.4645530000e-05, -7.4760858657e+01, -6.6446624780e+00, -2.0000000000e+01
8.4490000000e+09, 1.7149710000e-04, -1.7032390000e-04, -7.2334273989e+01, -7.0651512783e+00, -2.0000000000e+01
8.4491000000e+09, 1.3247480000e-04, -8.2051390000e-05, -7.6147154873e+01, -6.8377284165e+00, -2.0000000000e+01
8.4492000000e+09, 2.1059820000e-04, -2.5950740000e-04, -6.9519635750e+01, -7.1722492679e+00, -2.0000000000e+01
8.4493000000e+09, 4.9535830000e-05, -5.6655700000e-06, -8.6045168458e+01, -6.3970636435e+00, -2.0000000000e+01
8.4494000000e+09, 1.7407460000e-04, -1.7622710000e-04, -7.2121291083e+01, -7.0747280965e+00, -2.0000000000e+01
8.4495000000e+09, 1.7130040000e-04, -2.1279010000e-04, -7.1271246550e+01, -7.1761868788e+00, -2.0000000000e+01
8.4496000000e+09, 8.2624140000e-05, -2.1897940000e-04, -7.2613880714e+01, -7.4931832100e+00, -2.0000000000e+01
